name,img
أذربيجان,teams_images/أذربيجان.png
أرمينيا,teams_images/أرمينيا.png
إسبانيا,teams_images/إسبانيا.png
إستونيا,teams_images/إستونيا.png
اسكتلندا,teams_images/اسكتلندا.png
ألبانيا,teams_images/ألبانيا.png
ألمانيا,teams_images/ألمانيا.png
إنجلترا,teams_images/إنجلترا.png
أندورا,teams_images/أندورا.png
أوكرانيا,teams_images/أوكرانيا.png
أيرلندا,teams_images/أيرلندا.png
أيرلندا الشمالية,teams_images/أيرلندا الشمالية.png
آيسلندا,teams_images/آيسلندا.png
إيطاليا,teams_images/إيطاليا.png
البرتغال,teams_images/البرتغال.png
بلجيكا,teams_images/بلجيكا.png
بلغاريا,teams_images/بلغاريا.png
البوسنة والهرسك,teams_images/البوسنة والهرسك.png
بولندا,teams_images/بولندا.png
بيلاروسيا,teams_images/بيلاروسيا.png
تركيا,teams_images/تركيا.png
التشيك,teams_images/التشيك.png
الجبل الأسود,teams_images/الجبل الأسود.png
جبل طارق,teams_images/جبل طارق.png
جزر فارو,teams_images/جزر فارو.png
جورجيا,teams_images/جورجيا.png
الدنمارك,teams_images/الدنمارك.png
رومانيا,teams_images/رومانيا.png
سان مارينو,teams_images/سان مارينو.png
سلوفاكيا,teams_images/سلوفاكيا.png
سلوفينيا,teams_images/سلوفينيا.png
السويد,teams_images/السويد.png
سويسرا,teams_images/سويسرا.png
شمال مقدونيا,teams_images/شمال مقدونيا.png
صربيا,teams_images/صربيا.png
فرنسا,teams_images/فرنسا.png
فنلندا,teams_images/فنلندا.png
قبرص,teams_images/قبرص.png
كازاخستان,teams_images/كازاخستان.png
كرواتيا,teams_images/كرواتيا.png
كوسوفو,teams_images/كوسوفو.png
لاتفيا,teams_images/لاتفيا.png
لوكسمبورغ,teams_images/لوكسمبورغ.png
ليتوانيا,teams_images/ليتوانيا.png
ليختنشتاين,teams_images/ليختنشتاين.png
مالطا,teams_images/مالطا.png
المجر,teams_images/المجر.png
منتخب غير معروف,teams_images/منتخب غير معروف.png
مولدوفا,teams_images/مولدوفا.png
النرويج,teams_images/النرويج.png
النمسا,teams_images/النمسا.png
هولندا,teams_images/هولندا.png
ويلز,teams_images/ويلز.png
اليونان,teams_images/اليونان.png
